region;Dummies
23; 1998(8) 2005(1) 2005(3) 2006(1) 2006(7) 2006(12) 2007(2) 2007(7) 2008(3) 2008(4) 2008(6) 2009(1) 2010(4) 2010(6) 2011(2) 2011(3) 2011(4) 2011(6) 2011(12) 2012(2) 2012(3) 2012(7) 2012(12) 2013(1) 2013(2) 2013(3) 2013(4) 2013(5) 2013(12) 2014(3) 2014(4) 2014(6) 2014(12) 2015(1) 2015(2) 2015(3) 2015(4) 2015(8) 2015(9) 2015(11) 2016(2) 2016(3) 2016(4) 2016(5) 2016(10) 2016(12) 1998(8) 2005(1) 2005(3) 2006(1) 2006(7) 2006(12) 2007(2) 2007(7) 2008(3) 2008(4) 2008(6) 2009(1) 2010(4) 2010(6) 2011(2) 2011(3) 2011(4) 2011(6) 2011(12) 2012(2) 2012(3) 2012(7) 2012(12) 2013(1) 2013(2) 2013(3) 2013(4) 2013(5) 2013(12) 2014(3) 2014(4) 2014(6) 2014(12) 2015(1) 2015(2) 2015(3) 2015(4) 2015(8) 2015(9) 2015(11) 2016(2) 2016(3) 2016(4) 2016(5) 2016(10) 2016(12)
24; 2002(1) 2002(3) 2002(11) 2003(2) 2003(3) 2003(4) 2004(1) 2004(4) 2004(6) 2004(7) 2004(11) 2004(12) 2005(10) 2005(12) 2006(1) 2006(3) 2008(1) 2008(3) 2008(10) 2008(12) 2009(1) 2009(4) 2009(5) 2009(7) 2009(11) 2009(12) 2010(1) 2010(4) 2010(6) 2010(7) 2010(10) 2010(12) 2011(1) 2011(2) 2011(6) 2011(9) 2011(10) 2011(12) 2012(1) 2012(2) 2012(3) 2012(5) 2012(7) 2012(12) 2013(2) 2013(3) 2013(5) 2013(8) 2013(11) 2013(12) 2014(1) 2014(3) 2014(6) 2014(7) 2014(10) 2014(12) 2015(1) 2015(3) 2015(4) 2015(5) 2015(7) 2015(10) 2015(11) 2015(12) 2016(3) 2016(5) 2016(9) 2016(12) 2002(1) 2002(3) 2002(11) 2003(2) 2003(3) 2003(4) 2004(1) 2004(4) 2004(6) 2004(7) 2004(11) 2004(12) 2005(10) 2005(12) 2006(1) 2006(3) 2008(1) 2008(3) 2008(10) 2008(12) 2009(1) 2009(4) 2009(5) 2009(7) 2009(11) 2009(12) 2010(1) 2010(4) 2010(6) 2010(7) 2010(10) 2010(12) 2011(1) 2011(2) 2011(6) 2011(9) 2011(10) 2011(12) 2012(1) 2012(2) 2012(3) 2012(5) 2012(7) 2012(12) 2013(2) 2013(3) 2013(5) 2013(8) 2013(11) 2013(12) 2014(1) 2014(3) 2014(6) 2014(7) 2014(10) 2014(12) 2015(1) 2015(3) 2015(4) 2015(5) 2015(7) 2015(10) 2015(11) 2015(12) 2016(3) 2016(5) 2016(9) 2016(12)
25; 1997(1) 1997(3) 1998(1) 1998(12) 1999(12) 2001(11) 2002(4) 2002(7) 2002(9) 2002(10) 2002(11) 2002(12) 2003(3) 2003(4) 2003(8) 2003(12) 2004(2) 2004(7) 2004(8) 2004(9) 2005(1) 2005(9) 2005(11) 2005(12) 2006(2) 2006(4) 2009(4) 2009(9) 2009(12) 2011(2) 2011(8) 2012(5) 2012(6) 2013(1) 2013(4) 2013(7) 2013(10) 2014(4) 2015(2) 2015(5) 2015(7) 2015(8) 2016(4) 2016(5) 2016(8) 1997(1) 1997(3) 1998(1) 1998(12) 1999(12) 2001(11) 2002(4) 2002(7) 2002(9) 2002(10) 2002(11) 2002(12) 2003(3) 2003(4) 2003(8) 2003(12) 2004(2) 2004(7) 2004(8) 2004(9) 2005(1) 2005(9) 2005(11) 2005(12) 2006(2) 2006(4) 2009(4) 2009(9) 2009(12) 2011(2) 2011(8) 2012(5) 2012(6) 2013(1) 2013(4) 2013(7) 2013(10) 2014(4) 2015(2) 2015(5) 2015(7) 2015(8) 2016(4) 2016(5) 2016(8)
26; 1997(9) 1998(9) 2008(7) 2008(8) 2008(10) 2009(10) 2011(12) 2012(3) 2012(4) 2012(12) 2013(1) 2013(4) 2013(12) 2014(1) 2014(3) 2014(12) 1997(9) 1998(9) 2008(7) 2008(8) 2008(10) 2009(10) 2011(12) 2012(3) 2012(4) 2012(12) 2013(1) 2013(4) 2013(12) 2014(1) 2014(3) 2014(12)
27; 2010(6) 2010(7) 2010(12) 2011(2) 2011(3) 2011(8) 2011(9) 2011(10) 2012(2) 2012(5) 2012(6) 2012(8) 2012(12) 2013(1) 2013(2) 2013(3) 2013(4) 2013(7) 2013(8) 2014(4) 2014(9) 2014(10) 2014(11) 2014(12) 2015(1) 2015(4) 2015(8) 2016(1) 2016(10) 2016(12) 2010(6) 2010(7) 2010(12) 2011(2) 2011(3) 2011(8) 2011(9) 2011(10) 2012(2) 2012(5) 2012(6) 2012(8) 2012(12) 2013(1) 2013(2) 2013(3) 2013(4) 2013(7) 2013(8) 2014(4) 2014(9) 2014(10) 2014(11) 2014(12) 2015(1) 2015(4) 2015(8) 2016(1) 2016(10) 2016(12)
28; 2004(3) 2005(7) 2010(1) 2011(1) 2011(2) 2011(12) 2012(1) 2012(3) 2012(5) 2012(11) 2013(1) 2013(3) 2013(4) 2013(5) 2013(7) 2013(8) 2013(12) 2014(3) 2014(4) 2014(12) 2015(3) 2015(5) 2015(12) 2016(3) 2016(5) 2016(12) 2004(3) 2005(7) 2010(1) 2011(1) 2011(2) 2011(12) 2012(1) 2012(3) 2012(5) 2012(11) 2013(1) 2013(3) 2013(4) 2013(5) 2013(7) 2013(8) 2013(12) 2014(3) 2014(4) 2014(12) 2015(3) 2015(5) 2015(12) 2016(3) 2016(5) 2016(12)
29; 1996(6) 1996(8) 2002(12) 2003(8) 2008(12) 2009(1) 2010(1) 2011(2) 2011(5) 2011(7) 2011(8) 2011(9) 2011(10) 2011(12) 2012(3) 2012(7) 2012(8) 2013(1) 2013(2) 2013(3) 2013(4) 2014(1) 2014(12) 2015(12) 2016(1) 2016(3) 2016(7) 2016(12) 1996(6) 1996(8) 2002(12) 2003(8) 2008(12) 2009(1) 2010(1) 2011(2) 2011(5) 2011(7) 2011(8) 2011(9) 2011(10) 2011(12) 2012(3) 2012(7) 2012(8) 2013(1) 2013(2) 2013(3) 2013(4) 2014(1) 2014(12) 2015(12) 2016(1) 2016(3) 2016(7) 2016(12)
30; 2006(8) 2007(5) 2007(9) 2007(12) 2008(9) 2008(12) 2009(1) 2009(2) 2009(3) 2009(4) 2009(5) 2009(6) 2009(7) 2009(9) 2009(12) 2010(1) 2010(2) 2010(3) 2010(4) 2010(5) 2010(7) 2010(8) 2010(9) 2010(11) 2010(12) 2011(1) 2011(2) 2011(3) 2011(4) 2011(5) 2011(6) 2011(8) 2011(12) 2012(1) 2012(2) 2012(3) 2012(6) 2012(7) 2012(8) 2012(11) 2012(12) 2013(1) 2013(2) 2013(3) 2013(4) 2013(5) 2013(6) 2013(8) 2013(10) 2013(11) 2013(12) 2014(1) 2014(2) 2014(3) 2014(4) 2014(5) 2014(6) 2014(7) 2014(10) 2014(12) 2015(1) 2015(2) 2015(3) 2015(4) 2015(5) 2015(10) 2015(12) 2016(2) 2016(4) 2016(5) 2016(6) 2016(7) 2016(9) 2016(12) 2006(8) 2007(5) 2007(9) 2007(12) 2008(9) 2008(12) 2009(1) 2009(2) 2009(3) 2009(4) 2009(5) 2009(6) 2009(7) 2009(9) 2009(12) 2010(1) 2010(2) 2010(3) 2010(4) 2010(5) 2010(7) 2010(8) 2010(9) 2010(11) 2010(12) 2011(1) 2011(2) 2011(3) 2011(4) 2011(5) 2011(6) 2011(8) 2011(12) 2012(1) 2012(2) 2012(3) 2012(6) 2012(7) 2012(8) 2012(11) 2012(12) 2013(1) 2013(2) 2013(3) 2013(4) 2013(5) 2013(6) 2013(8) 2013(10) 2013(11) 2013(12) 2014(1) 2014(2) 2014(3) 2014(4) 2014(5) 2014(6) 2014(7) 2014(10) 2014(12) 2015(1) 2015(2) 2015(3) 2015(4) 2015(5) 2015(10) 2015(12) 2016(2) 2016(4) 2016(5) 2016(6) 2016(7) 2016(9) 2016(12)
31; 2005(3) 2005(4) 2016(12) 2005(3) 2005(4) 2016(12)
32; 2004(1) 2005(1) 2006(12) 2007(1) 2008(1) 2008(2) 2009(1) 2009(2) 2011(1) 2011(12) 2012(1) 2012(12) 2013(1) 2014(12) 2015(1) 2015(3) 2015(4) 2015(6) 2015(7) 2015(11) 2015(12) 2016(1) 2016(8) 2016(12) 2004(1) 2005(1) 2006(12) 2007(1) 2008(1) 2008(2) 2009(1) 2009(2) 2011(1) 2011(12) 2012(1) 2012(12) 2013(1) 2014(12) 2015(1) 2015(3) 2015(4) 2015(6) 2015(7) 2015(11) 2015(12) 2016(1) 2016(8) 2016(12)
33; 2002(6) 2002(7) 2002(11) 2002(12) 2003(1) 2003(3) 2003(4) 2003(5) 2003(7) 2003(8) 2003(9) 2003(10) 2003(11) 2003(12) 2004(1) 2004(2) 2004(4) 2004(5) 2004(8) 2004(11) 2004(12) 2005(1) 2005(2) 2005(4) 2005(5) 2005(7) 2005(8) 2005(12) 2006(2) 2006(4) 2006(6) 2006(7) 2006(8) 2006(9) 2006(10) 2006(11) 2006(12) 2007(3) 2007(4) 2007(5) 2007(7) 2007(8) 2008(1) 2008(3) 2008(8) 2008(11) 2008(12) 2009(1) 2009(3) 2009(4) 2009(5) 2009(6) 2009(9) 2009(12) 2011(3) 2013(1) 2013(3) 2013(4) 2013(5) 2013(6) 2013(7) 2013(8) 2013(9) 2013(10) 2013(11) 2013(12) 2014(1) 2014(2) 2014(3) 2014(4) 2014(5) 2014(6) 2014(9) 2014(12) 2015(1) 2015(2) 2015(3) 2015(5) 2015(6) 2015(7) 2015(8) 2015(11) 2015(12) 2016(1) 2016(2) 2016(3) 2016(4) 2016(5) 2016(6) 2016(7) 2016(8) 2016(9) 2016(10) 2016(11) 2016(12) 2002(6) 2002(7) 2002(11) 2002(12) 2003(1) 2003(3) 2003(4) 2003(5) 2003(7) 2003(8) 2003(9) 2003(10) 2003(11) 2003(12) 2004(1) 2004(2) 2004(4) 2004(5) 2004(8) 2004(11) 2004(12) 2005(1) 2005(2) 2005(4) 2005(5) 2005(7) 2005(8) 2005(12) 2006(2) 2006(4) 2006(6) 2006(7) 2006(8) 2006(9) 2006(10) 2006(11) 2006(12) 2007(3) 2007(4) 2007(5) 2007(7) 2007(8) 2008(1) 2008(3) 2008(8) 2008(11) 2008(12) 2009(1) 2009(3) 2009(4) 2009(5) 2009(6) 2009(9) 2009(12) 2011(3) 2013(1) 2013(3) 2013(4) 2013(5) 2013(6) 2013(7) 2013(8) 2013(9) 2013(10) 2013(11) 2013(12) 2014(1) 2014(2) 2014(3) 2014(4) 2014(5) 2014(6) 2014(9) 2014(12) 2015(1) 2015(2) 2015(3) 2015(5) 2015(6) 2015(7) 2015(8) 2015(11) 2015(12) 2016(1) 2016(2) 2016(3) 2016(4) 2016(5) 2016(6) 2016(7) 2016(8) 2016(9) 2016(10) 2016(11) 2016(12)
34; 2009(3) 2010(12) 2012(1) 2012(12) 2013(8) 2014(1) 2014(3) 2014(12) 2015(2) 2015(3) 2015(4) 2015(6) 2015(7) 2016(2) 2016(3) 2016(4) 2016(7) 2016(8) 2016(11) 2016(12) 2009(3) 2010(12) 2012(1) 2012(12) 2013(8) 2014(1) 2014(3) 2014(12) 2015(2) 2015(3) 2015(4) 2015(6) 2015(7) 2016(2) 2016(3) 2016(4) 2016(7) 2016(8) 2016(11) 2016(12)
35; 2002(11) 2002(12) 2005(12) 2006(3) 2007(1) 2007(12) 2008(7) 2009(1) 2011(2) 2013(3) 2014(12) 2015(3) 2015(8) 2015(12) 2016(3) 2016(4) 2002(11) 2002(12) 2005(12) 2006(3) 2007(1) 2007(12) 2008(7) 2009(1) 2011(2) 2013(3) 2014(12) 2015(3) 2015(8) 2015(12) 2016(3) 2016(4)
36; 2001(1) 2001(3) 2002(3) 2003(12) 2005(1) 2005(3) 2005(9) 2005(11) 2005(12) 2006(11) 2006(12) 2007(1) 2007(3) 2008(2) 2008(8) 2008(12) 2009(1) 2009(10) 2009(11) 2010(2) 2010(6) 2010(11) 2010(12) 2011(3) 2011(11) 2011(12) 2012(12) 2013(1) 2013(3) 2013(12) 2014(1) 2015(2) 2015(3) 2015(12) 2016(1) 2016(2) 2016(3) 2016(4) 2016(12) 2001(1) 2001(3) 2002(3) 2003(12) 2005(1) 2005(3) 2005(9) 2005(11) 2005(12) 2006(11) 2006(12) 2007(1) 2007(3) 2008(2) 2008(8) 2008(12) 2009(1) 2009(10) 2009(11) 2010(2) 2010(6) 2010(11) 2010(12) 2011(3) 2011(11) 2011(12) 2012(12) 2013(1) 2013(3) 2013(12) 2014(1) 2015(2) 2015(3) 2015(12) 2016(1) 2016(2) 2016(3) 2016(4) 2016(12)
37;
38; 2000(11) 2011(2) 2011(3) 2012(1) 2012(2) 2012(3) 2012(5) 2012(9) 2013(8) 2013(12) 2014(12) 2015(11) 2016(12) 2000(11) 2011(2) 2011(3) 2012(1) 2012(2) 2012(3) 2012(5) 2012(9) 2013(8) 2013(12) 2014(12) 2015(11) 2016(12)
39; 1999(7) 2003(11) 2004(7) 2004(12) 2005(1) 2011(2) 2011(8) 2011(10) 2011(11) 2011(12) 2012(3) 2012(8) 2012(10) 2012(11) 2013(1) 2013(2) 2013(3) 2013(10) 2013(12) 2014(12) 2015(3) 2016(12) 1999(7) 2003(11) 2004(7) 2004(12) 2005(1) 2011(2) 2011(8) 2011(10) 2011(11) 2011(12) 2012(3) 2012(8) 2012(10) 2012(11) 2013(1) 2013(2) 2013(3) 2013(10) 2013(12) 2014(12) 2015(3) 2016(12)
40; 2002(2) 2004(10) 2005(1) 2005(4) 2005(7) 2005(8) 2005(9) 2005(11) 2005(12) 2006(12) 2007(1) 2007(2) 2007(11) 2007(12) 2008(2) 2008(12) 2009(1) 2009(9) 2009(11) 2009(12) 2010(1) 2010(6) 2013(1) 2013(2) 2013(6) 2013(7) 2013(8) 2013(9) 2014(1) 2014(2) 2014(3) 2014(6) 2014(7) 2014(8) 2014(9) 2014(10) 2014(12) 2015(1) 2015(2) 2015(3) 2015(4) 2015(5) 2015(8) 2015(12) 2016(1) 2016(6) 2016(7) 2016(8) 2016(10) 2016(11) 2016(12) 2002(2) 2004(10) 2005(1) 2005(4) 2005(7) 2005(8) 2005(9) 2005(11) 2005(12) 2006(12) 2007(1) 2007(2) 2007(11) 2007(12) 2008(2) 2008(12) 2009(1) 2009(9) 2009(11) 2009(12) 2010(1) 2010(6) 2013(1) 2013(2) 2013(6) 2013(7) 2013(8) 2013(9) 2014(1) 2014(2) 2014(3) 2014(6) 2014(7) 2014(8) 2014(9) 2014(10) 2014(12) 2015(1) 2015(2) 2015(3) 2015(4) 2015(5) 2015(8) 2015(12) 2016(1) 2016(6) 2016(7) 2016(8) 2016(10) 2016(11) 2016(12)
41; 2011(12) 2013(4) 2013(5) 2013(12) 2014(1) 2014(2) 2014(11) 2015(1) 2015(4) 2015(6) 2015(8) 2015(9) 2015(12) 2016(2) 2016(3) 2016(6) 2016(7) 2016(8) 2016(9) 2016(11) 2011(12) 2013(4) 2013(5) 2013(12) 2014(1) 2014(2) 2014(11) 2015(1) 2015(4) 2015(6) 2015(8) 2015(9) 2015(12) 2016(2) 2016(3) 2016(6) 2016(7) 2016(8) 2016(9) 2016(11)
42; 2005(1) 2006(3) 2007(4) 2007(5) 2007(6) 2007(12) 2008(1) 2009(1) 2009(3) 2009(4) 2011(1) 2012(1) 2012(4) 2012(5) 2012(12) 2013(1) 2013(12) 2014(1) 2014(6) 2014(7) 2014(8) 2015(3) 2015(4) 2015(6) 2015(7) 2016(1) 2016(2) 2016(3) 2016(4) 2016(12) 2005(1) 2006(3) 2007(4) 2007(5) 2007(6) 2007(12) 2008(1) 2009(1) 2009(3) 2009(4) 2011(1) 2012(1) 2012(4) 2012(5) 2012(12) 2013(1) 2013(12) 2014(1) 2014(6) 2014(7) 2014(8) 2015(3) 2015(4) 2015(6) 2015(7) 2016(1) 2016(2) 2016(3) 2016(4) 2016(12)
43; 1997(1) 2002(12) 2004(3) 2005(11) 2010(2) 2013(3) 2014(1) 2014(12) 2015(1) 2015(3) 2015(12) 2016(1) 2016(2) 2016(6) 2016(12) 1997(1) 2002(12) 2004(3) 2005(11) 2010(2) 2013(3) 2014(1) 2014(12) 2015(1) 2015(3) 2015(12) 2016(1) 2016(2) 2016(6) 2016(12)
44; 1997(2) 1999(2) 2003(1) 2003(3) 2003(5) 2003(12) 2004(2) 2004(4) 2005(2) 2007(12) 2010(12) 2011(12) 2012(12) 2013(1) 2013(12) 2014(2) 2014(6) 2014(8) 2015(1) 2015(6) 2015(8) 2015(12) 2016(8) 2016(11) 1997(2) 1999(2) 2003(1) 2003(3) 2003(5) 2003(12) 2004(2) 2004(4) 2005(2) 2007(12) 2010(12) 2011(12) 2012(12) 2013(1) 2013(12) 2014(2) 2014(6) 2014(8) 2015(1) 2015(6) 2015(8) 2015(12) 2016(8) 2016(11)
45; 1999(1) 2002(12) 2004(6) 2004(8) 2004(12) 2005(1) 2005(2) 2005(3) 2005(6) 2005(12) 2006(1) 2006(5) 2006(7) 2006(12) 2007(12) 2008(8) 2009(1) 2009(2) 2009(7) 2009(8) 2010(12) 2011(2) 2011(5) 2011(7) 2011(8) 2011(12) 2012(1) 2012(2) 2012(3) 2012(6) 2012(8) 2012(11) 2012(12) 2013(1) 2013(2) 2013(4) 2013(5) 2013(8) 2013(9) 2013(10) 2013(11) 2013(12) 2014(1) 2014(2) 2014(3) 2014(4) 2014(6) 2014(7) 2014(8) 2014(9) 2014(10) 2014(11) 2014(12) 2015(1) 2015(2) 2015(3) 2015(4) 2015(6) 2015(7) 2015(8) 2015(9) 2015(10) 2015(11) 2015(12) 2016(1) 2016(3) 2016(4) 2016(5) 2016(7) 2016(8) 2016(9) 2016(10) 2016(11) 2016(12) 1999(1) 2002(12) 2004(6) 2004(8) 2004(12) 2005(1) 2005(2) 2005(3) 2005(6) 2005(12) 2006(1) 2006(5) 2006(7) 2006(12) 2007(12) 2008(8) 2009(1) 2009(2) 2009(7) 2009(8) 2010(12) 2011(2) 2011(5) 2011(7) 2011(8) 2011(12) 2012(1) 2012(2) 2012(3) 2012(6) 2012(8) 2012(11) 2012(12) 2013(1) 2013(2) 2013(4) 2013(5) 2013(8) 2013(9) 2013(10) 2013(11) 2013(12) 2014(1) 2014(2) 2014(3) 2014(4) 2014(6) 2014(7) 2014(8) 2014(9) 2014(10) 2014(11) 2014(12) 2015(1) 2015(2) 2015(3) 2015(4) 2015(6) 2015(7) 2015(8) 2015(9) 2015(10) 2015(11) 2015(12) 2016(1) 2016(3) 2016(4) 2016(5) 2016(7) 2016(8) 2016(9) 2016(10) 2016(11) 2016(12)
46; 1999(12) 2012(2) 2012(3) 2014(2) 2014(3) 2015(12) 2016(3) 2016(12) 1999(12) 2012(2) 2012(3) 2014(2) 2014(3) 2015(12) 2016(3) 2016(12)
47; 2006(1) 2007(6) 2007(12) 2010(1) 2006(1) 2007(6) 2007(12) 2010(1)
